Date,Open,High,Low,Close,Volume,Adjusted Close
2014-01-28,391.88,393.14,390.22,392.23,111529100.0,392.23
2014-01-27,392.77,393.89,389.82,390.79,124849800.0,390.79
2014-01-24,404.17,404.98,393.54,393.85,139983700.0,393.85
2014-01-23,405.93,408.1,403.14,403.89,99214600.0,403.89
2014-01-22,406.92,408.37,405.47,407.45,101324600.0,407.45
2014-01-21,408.43,408.81,404.26,405.19,101069100.0,405.19
2014-01-20,407.18,408.03,406.54,408.0,70342000.0,408.0
2014-01-17,404.85,408.55,404.85,408.26,123338600.0,408.26
2014-01-16,408.51,408.72,407.08,407.59,122942600.0,407.59
2014-01-15,407.59,408.93,406.65,408.62,100182900.0,408.62
2014-01-14,401.31,406.57,400.46,406.57,108658100.0,406.57
2014-01-13,404.94,405.38,403.31,404.93,103018300.0,404.93
2014-01-10,404.01,405.95,402.97,403.95,109900800.0,403.95
2014-01-09,403.52,405.0,401.11,401.97,117485000.0,401.97
2014-01-08,403.56,403.9,402.63,403.86,105349800.0,403.86
2014-01-07,400.58,403.27,399.23,402.97,105892600.0,402.97
2014-01-06,401.71,402.71,399.6,399.85,107202300.0,399.85
2014-01-03,400.38,402.6,399.13,401.97,84297800.0,401.97
2014-01-02,403.37,404.43,399.64,399.82,92568700.0,399.82
2013-12-31,400.6,401.92,400.23,401.79,21421900.0,401.79
2013-12-30,401.53,401.95,399.08,399.77,58061400.0,399.77
2013-12-27,399.11,400.99,399.11,400.99,52895100.0,400.99
2013-12-24,395.27,397.53,395.27,396.61,17970000.0,396.61
2013-12-23,392.88,395.52,392.81,395.52,63200800.0,395.52
2013-12-20,388.34,391.92,388.34,391.56,160593600.0,391.56
2013-12-19,385.17,387.51,385.17,386.45,66689600.0,386.45
2013-12-18,379.66,381.32,378.36,381.17,78628400.0,381.17
2013-12-17,380.49,380.52,378.17,378.17,75134400.0,378.17
2013-12-16,375.98,382.45,375.9,381.44,90762500.0,381.44
2013-12-13,377.44,378.96,376.45,376.86,76932300.0,376.86
2013-12-12,381.6,381.86,377.8,377.82,92197300.0,377.82
2013-12-11,384.7,387.26,383.03,383.15,71520400.0,383.15
2013-12-10,386.84,389.68,385.1,385.56,68228300.0,385.56
2013-12-09,388.26,388.26,385.9,387.38,71635200.0,387.38
2013-12-06,384.91,387.74,383.7,387.01,106749800.0,387.01
2013-12-05,387.08,387.95,383.71,383.71,82258900.0,383.71
2013-12-04,391.69,391.87,385.51,388.14,87818400.0,388.14
2013-12-03,395.58,395.89,390.57,390.57,82038200.0,390.57
2013-12-02,396.62,397.86,395.46,395.99,62694500.0,395.99
2013-11-29,396.14,397.3,395.9,396.55,52823700.0,396.55
2013-11-28,396.4,397.56,396.3,396.75,43792400.0,396.75
2013-11-27,394.48,396.7,394.48,396.22,60577400.0,396.22
2013-11-26,396.86,397.45,394.11,394.11,79087800.0,394.11
2013-11-25,397.66,398.59,397.13,397.46,68131800.0,397.46
2013-11-22,396.28,397.92,394.58,395.8,72764600.0,395.8
2013-11-21,394.8,396.73,393.65,395.33,81661000.0,395.33
2013-11-20,394.46,398.04,394.06,396.54,87813500.0,396.54
2013-11-19,396.31,396.76,395.0,395.48,79588800.0,395.48
2013-11-18,394.9,398.04,394.28,396.98,82159200.0,396.98
2013-11-15,395.15,396.26,394.62,395.34,84441800.0,395.34
2013-11-14,394.76,395.47,393.73,394.87,107661300.0,394.87
2013-11-13,391.25,392.49,388.43,391.18,104740100.0,391.18
2013-11-12,395.24,396.11,393.32,393.38,91714200.0,393.38
2013-11-11,395.13,395.73,393.84,395.45,100820900.0,395.45
2013-11-08,391.7,394.41,390.66,394.07,131522900.0,394.07
2013-11-07,394.7,398.31,392.58,393.22,192736600.0,393.22
2013-11-06,392.59,395.84,392.52,393.97,143211500.0,393.97
2013-11-05,393.98,393.98,389.54,391.25,125288400.0,391.25
2013-11-04,391.92,394.41,391.87,393.15,110955100.0,393.15
2013-11-01,392.5,392.52,390.6,391.2,85567800.0,391.2
2013-10-31,388.47,391.92,388.47,391.92,109775400.0,391.92
2013-10-30,391.66,393.04,390.36,391.2,89007800.0,391.2
2013-10-29,388.47,391.31,388.47,391.13,74629300.0,391.13
2013-10-28,389.95,390.34,387.98,388.8,73746700.0,388.8
2013-10-25,389.01,389.98,388.24,389.19,73734300.0,389.19
2013-10-24,389.07,390.38,389.0,390.21,82481400.0,390.21
2013-10-23,388.16,388.93,387.43,388.56,88157100.0,388.56
2013-10-22,387.74,391.41,387.68,390.19,128848400.0,390.19
2013-10-21,387.72,388.92,387.19,388.28,117174500.0,388.28
2013-10-18,384.04,385.73,382.93,385.73,115974900.0,385.73
2013-10-17,382.24,382.73,380.21,382.51,155449700.0,382.51
2013-10-16,380.74,383.93,380.41,383.33,88277900.0,383.33
2013-10-15,378.48,382.25,378.48,381.95,103871300.0,381.95
2013-10-14,375.15,376.27,374.31,376.27,67160600.0,376.27
2013-10-11,376.06,376.56,375.07,376.11,78038400.0,376.11
2013-10-10,369.57,374.27,368.55,373.91,97145000.0,373.91
2013-10-09,369.81,370.0,366.06,367.19,82082600.0,367.19
2013-10-08,373.32,373.89,370.98,370.98,68682300.0,370.98
2013-10-07,374.59,374.59,370.57,373.75,70719600.0,373.75
2013-10-04,374.57,376.69,373.85,376.03,61981100.0,376.03
2013-10-03,376.8,377.4,374.31,374.83,75108500.0,374.83
2013-10-02,376.52,376.82,374.03,376.17,92474600.0,376.17
2013-10-01,373.94,377.63,373.87,377.63,99454700.0,377.63
2013-09-30,372.91,375.04,372.44,374.92,95206800.0,374.92
2013-09-27,377.89,378.65,374.05,375.77,79653300.0,375.77
2013-09-26,379.64,380.34,377.11,377.95,74992100.0,377.95
2013-09-25,379.67,380.74,377.91,379.6,86206500.0,379.6
2013-09-24,379.16,380.96,379.15,380.67,83785600.0,380.67
2013-09-23,381.45,383.19,378.39,379.55,104721800.0,379.55
2013-09-20,381.53,383.73,381.53,382.07,200717700.0,382.07
2013-09-19,384.83,385.9,381.56,382.58,163356700.0,382.58
2013-09-18,380.32,381.32,379.08,380.92,106874200.0,380.92
2013-09-17,378.98,380.48,378.54,379.81,99817700.0,379.81
2013-09-16,380.71,381.1,379.2,379.89,127263000.0,379.89
2013-09-13,376.03,377.29,375.36,376.84,80898400.0,376.84
2013-09-12,375.94,377.58,375.06,376.66,107064400.0,376.66
2013-09-11,375.9,376.25,374.1,375.05,109691200.0,375.05
2013-09-10,372.27,376.79,372.27,376.31,128190200.0,376.31
2013-09-09,371.49,371.83,369.02,369.78,84520500.0,369.78
2013-09-06,369.62,372.8,367.4,371.04,102762000.0,371.04
2013-09-05,368.87,370.6,366.29,369.95,96958700.0,369.95
2013-09-04,367.86,369.01,365.16,368.26,83704900.0,368.26
2013-09-03,369.87,369.87,365.58,367.09,85254600.0,367.09
2013-09-02,366.31,369.7,366.31,369.26,92015800.0,369.26
2013-08-30,366.93,367.35,362.68,362.93,213108400.0,362.93
2013-08-29,366.58,367.56,364.56,367.13,95172000.0,367.13
